LDN,Elev,GDP,Nt,Pop,Pre,Tem
1,0.443172,0.0015153,0,0.0001239,0.382028,0.561299
1,0.26334,0.0018889,0,0.0006857,0.268168,0.828589
1,0.139584,0.0056205,0,0.0006858,0.472249,0.956649
1,0.323787,0.0118777,0,0.0001835,0.313098,0.767699
1,0.258065,0.0030411,0,0.0007947,0.279456,0.806765
1,0.251281,0.0013129,0,0.0014352,0.431229,0.804503
1,0.361471,0.0046136,0.018254,0.0013506,0.306809,0.744837
1,0.265149,0.0036907,0,0.0002828,0.414699,0.80373
1,0.142297,0.0049369,0.0420635,0.0012995,0.612864,0.933711
1,0.164908,0.001891,0,0.0001215,0.523269,0.92064
1,0.284595,0.001715,0,0.0003466,0.331924,0.815437
0,0.169279,0.0017458,0,0.0004078,0.540084,0.907975
1,0.302231,0.0034353,0.0119048,0.0013424,0.306942,0.76036
1,0.317456,0.0039375,0,0.0013804,0.313272,0.757581
1,0.325746,0.0069231,0,0.0002986,0.443582,0.847537
1,0.29997,0.0021169,0,0.0002347,0.334038,0.783764
0,0.305698,0.0025052,0,0.0010705,0.518236,0.761548
1,0.304341,0.0019344,0,0.0001713,0.34491,0.77287
1,0.370063,0.0025098,0,0.0003433,0.316661,0.693983
1,0.201387,0.0010273,0,0.0001758,0.490428,0.85576
1,0.260627,0.0245065,0,0.0002374,0.430988,0.826398
-1,0.216913,0.0036435,0,0.0005885,0.474517,0.897463
0,0.351522,0.0019607,0,0.0003954,0.333447,0.702862
-1,0.262737,0.0021441,0,0.0001639,0.693692,0.823586
0,0.17953,0.0045323,0,0.0003179,0.475812,0.904416
0,0.17561,0.003071,0,0.0003608,0.606715,0.879697
1,0.252487,0.0011622,0,0.0002338,0.494883,0.786685
1,0.251432,0.0041823,0,0.0020793,0.504866,0.813983
1,0.284293,0.0010812,0,0.0002754,0.4174,0.803318
1,0.242086,0.0058967,0,0.0004747,0.354032,0.830473
0,0.260778,0.0022744,0,0.0001638,0.278476,0.814695
1,0.207869,0.0016534,0,0.0004493,0.456977,0.869338
0,0.266807,0.0053201,0.0047619,0.0005436,0.335059,0.798048
1,0.229876,0.0011181,0,0.0004706,0.306291,0.852775
-1,0.105216,0.0014868,0,0.0006187,0.66037,0.969637
1,0.203949,0.0012071,0,0.0001399,0.483209,0.893822
1,0.377299,0.0013113,0,0.0001681,0.399191,0.703065
1,0.325746,0.0194168,0,0.000465,0.342813,0.736619
1,0.324088,0.0034591,0,0.000557,0.373794,0.750868
1,0.369762,0.0968689,0,0.0002319,0.331126,0.723604
1,0.305095,0.0014097,0,0.0003285,0.328032,0.811257
0,0.14079,0.0015646,0,0.000308,0.58902,0.93677
1,0.335092,0.003017,0,0.0012029,0.350251,0.762097
1,0.329816,0.0032303,0,0.0006617,0.358784,0.783321
-1,0.0702442,0.0026334,0.0388889,0.0015824,0.483511,0.974811
1,0.411516,0.0036522,0,0.0002764,0.311438,0.696658
0,0.302985,0.0053168,0,0.0009213,0.280892,0.781288
0,0.194302,0.0023864,0,0.0004323,0.516645,0.919811
1,0.248719,0.0054034,0,0.0007243,0.353382,0.84362
-1,0.164908,0.0040329,0,0.0002331,0.57121,0.902689
1,0.340971,0.0010587,0,0.0001715,0.415843,0.76148
1,0.296955,0.196787,0.126984,0.0016751,0.323608,0.778905
1,0.189478,0.0008761,0,0.0001327,0.584585,0.89549
-1,0.274947,0.0038434,0,0.0006404,0.506673,0.782278
0,0.329967,0.0037327,0,0.0001689,0.614945,0.725989
1,0.189478,0.0017577,0,0.0001131,0.481501,0.865868
1,0.330721,0.0042801,0,0.000817,0.288226,0.751421
1,0.306904,0.0033948,0,0.0013393,0.344711,0.789091
-1,0.23681,0.0011522,0,0.0001813,0.563924,0.867014
1,0.435182,0.0019949,0,0.0002315,0.318811,0.661306
-1,0.212692,0.0034011,0,0.0013191,0.306496,0.873793
-1,0.18571,0.0038891,0,0.000898,0.380745,0.911486
-1,0.225203,0.0032586,0,0.0003844,0.352818,0.840109
1,0.184504,0.0026318,0,0.0004261,0.562685,0.909284
1,0.201538,0.0011025,0,0.0005636,0.45645,0.867398
1,0.381218,0.0022608,0.0119048,0.0006393,0.315665,0.721635
1,0.21842,0.0027085,0,0.0002406,0.420519,0.886931
